baixar;pais;liga_temporada;temporada;url
S;AUSTRALIA;AUSTRALIA 3;2026;https://www.flashscore.com/football/australia/npl-act/results/
S;AUSTRALIA;AUSTRALIA 3;2025;https://www.flashscore.com/football/australia/npl-act-2025/results/
S;AUSTRALIA;AUSTRALIA 3;2024;https://www.flashscore.com/football/australia/npl-act-2024/results/
S;AUSTRALIA;AUSTRALIA 3;2023;https://www.flashscore.com/football/australia/npl-act-2023/results/
S;AUSTRALIA;AUSTRALIA 3;2022;https://www.flashscore.com/football/australia/npl-act-2022/results/
S;AUSTRALIA;AUSTRALIA 3;2021;https://www.flashscore.com/football/australia/npl-act-2021/results/
S;AUSTRALIA;AUSTRALIA 3;2026;https://www.flashscore.com/football/australia/npl-northern-nsw/results/
S;AUSTRALIA;AUSTRALIA 3;2025;https://www.flashscore.com/football/australia/npl-northern-nsw-2025/results/
S;AUSTRALIA;AUSTRALIA 3;2024;https://www.flashscore.com/football/australia/npl-northern-nsw-2024/results/
S;AUSTRALIA;AUSTRALIA 3;2023;https://www.flashscore.com/football/australia/npl-northern-nsw-2023/results/
S;AUSTRALIA;AUSTRALIA 3;2022;https://www.flashscore.com/football/australia/npl-northern-nsw-2022/results/
S;AUSTRALIA;AUSTRALIA 3;2021;https://www.flashscore.com/football/australia/npl-northern-nsw-2021/results/
S;AUSTRALIA;AUSTRALIA 3;2026;https://www.flashscore.com/football/australia/npl-nsw/results/
S;AUSTRALIA;AUSTRALIA 3;2025;https://www.flashscore.com/football/australia/npl-nsw-2025/results/
S;AUSTRALIA;AUSTRALIA 3;2024;https://www.flashscore.com/football/australia/npl-nsw-2024/results/
S;AUSTRALIA;AUSTRALIA 3;2023;https://www.flashscore.com/football/australia/npl-nsw-2023/results/
S;AUSTRALIA;AUSTRALIA 3;2022;https://www.flashscore.com/football/australia/npl-nsw-2022/results/
S;AUSTRALIA;AUSTRALIA 3;2021;https://www.flashscore.com/football/australia/npl-nsw-2021/results/
S;AUSTRALIA;AUSTRALIA 3;2026;https://www.flashscore.com/football/australia/npl-queensland/results/
S;AUSTRALIA;AUSTRALIA 3;2025;https://www.flashscore.com/football/australia/npl-queensland-2025/results/
S;AUSTRALIA;AUSTRALIA 3;2024;https://www.flashscore.com/football/australia/npl-queensland-2024/results/
S;AUSTRALIA;AUSTRALIA 3;2023;https://www.flashscore.com/football/australia/npl-queensland-2023/results/
S;AUSTRALIA;AUSTRALIA 3;2022;https://www.flashscore.com/football/australia/npl-queensland-2022/results/
S;AUSTRALIA;AUSTRALIA 3;2021;https://www.flashscore.com/football/australia/npl-queensland-2021/results/
S;AUSTRALIA;AUSTRALIA 3;2026;https://www.flashscore.com/football/australia/npl-finals-series/results/
S;AUSTRALIA;AUSTRALIA 3;2025;https://www.flashscore.com/football/australia/npl-finals-series-2025/results/
S;AUSTRALIA;AUSTRALIA 3;2024;https://www.flashscore.com/football/australia/npl-finals-series-2024/results/
S;AUSTRALIA;AUSTRALIA 3;2023;https://www.flashscore.com/football/australia/npl-finals-series-2023/results/
S;AUSTRALIA;AUSTRALIA 3;2026;https://www.flashscore.com/football/australia/npl-south-australia/results/
S;AUSTRALIA;AUSTRALIA 3;2025;https://www.flashscore.com/football/australia/npl-south-australia-2025/results/
S;AUSTRALIA;AUSTRALIA 3;2024;https://www.flashscore.com/football/australia/npl-south-australia-2024/results/
S;AUSTRALIA;AUSTRALIA 3;2023;https://www.flashscore.com/football/australia/npl-south-australia-2023/results/
S;AUSTRALIA;AUSTRALIA 3;2022;https://www.flashscore.com/football/australia/npl-south-australia-2022/results/
S;AUSTRALIA;AUSTRALIA 3;2021;https://www.flashscore.com/football/australia/npl-south-australia-2021/results/
S;AUSTRALIA;AUSTRALIA 3;2026;https://www.flashscore.com/football/australia/npl-tasmania/results/
S;AUSTRALIA;AUSTRALIA 3;2025;https://www.flashscore.com/football/australia/npl-tasmania-2025/results/
S;AUSTRALIA;AUSTRALIA 3;2024;https://www.flashscore.com/football/australia/npl-tasmania-2024/results/
S;AUSTRALIA;AUSTRALIA 3;2023;https://www.flashscore.com/football/australia/npl-tasmania-2023/results/
S;AUSTRALIA;AUSTRALIA 3;2022;https://www.flashscore.com/football/australia/npl-tasmania-2022/results/
S;AUSTRALIA;AUSTRALIA 3;2021;https://www.flashscore.com/football/australia/npl-tasmania-2021/results/
S;AUSTRALIA;AUSTRALIA 3;2026;https://www.flashscore.com/football/australia/npl-victoria/results/
S;AUSTRALIA;AUSTRALIA 3;2025;https://www.flashscore.com/football/australia/npl-victoria-2025/results/
S;AUSTRALIA;AUSTRALIA 3;2024;https://www.flashscore.com/football/australia/npl-victoria-2024/results/
S;AUSTRALIA;AUSTRALIA 3;2023;https://www.flashscore.com/football/australia/npl-victoria-2023/results/
S;AUSTRALIA;AUSTRALIA 3;2022;https://www.flashscore.com/football/australia/npl-victoria-2022/results/
S;AUSTRALIA;AUSTRALIA 3;2021;https://www.flashscore.com/football/australia/npl-victoria-2021/results/
