pais;liga_temporada;temporada;url;feed_stage_lista
AFRICA;AFRICA 1;2026/2027;https://www.flashscore.com/football/africa/caf-champions-league/results/;[]
AFRICA;AFRICA 1;2025/2026;https://www.flashscore.com/football/africa/caf-champions-league-2025-2026/results/;['187']
AFRICA;AFRICA 1;2024/2025;https://www.flashscore.com/football/africa/caf-champions-league-2024-2025/results/;['184']
AFRICA;AFRICA 1;2023/2024;https://www.flashscore.com/football/africa/caf-champions-league-2023-2024/results/;['183']
AFRICA;AFRICA 1;2022/2023;https://www.flashscore.com/football/africa/caf-champions-league-2022-2023/results/;['176']
AFRICA;AFRICA 1;2021/2022;https://www.flashscore.com/football/africa/caf-champions-league-2021-2022/results/;['172']
AFRICA;AFRICA 1;2020/2021;https://www.flashscore.com/football/africa/caf-champions-league-2020-2021/results/;['171']
AFRICA;AFRICA 2;2026/2027;https://www.flashscore.com/football/africa/caf-confederation-cup/results/;[]
AFRICA;AFRICA 2;2025/2026;https://www.flashscore.com/football/africa/caf-confederation-cup-2025-2026/results/;['187']
AFRICA;AFRICA 2;2024/2025;https://www.flashscore.com/football/africa/caf-confederation-cup-2024-2025/results/;['184']
AFRICA;AFRICA 2;2023/2024;https://www.flashscore.com/football/africa/caf-confederation-cup-2023-2024/results/;['183']
AFRICA;AFRICA 2;2022/2023;https://www.flashscore.com/football/africa/caf-confederation-cup-2022-2023/results/;['176']
AFRICA;AFRICA 2;2021/2022;https://www.flashscore.com/football/africa/caf-confederation-cup-2021-2022/results/;['172']
AFRICA;AFRICA 2;2020/2021;https://www.flashscore.com/football/africa/caf-confederation-cup-2020-2021/results/;['171']
AFRICA;AFRICA 3;2026;https://www.flashscore.com/football/africa/caf-super-cup/results/;[]
AFRICA;AFRICA 3;2025;https://www.flashscore.com/football/africa/caf-super-cup-2025/results/;[]
AFRICA;AFRICA 3;2024;https://www.flashscore.com/football/africa/caf-super-cup-2024/results/;[]
AFRICA;AFRICA 3;2023;https://www.flashscore.com/football/africa/caf-super-cup-2023/results/;[]
AFRICA;AFRICA 3;2022;https://www.flashscore.com/football/africa/caf-super-cup-2022/results/;[]
AFRICA;AFRICA 3;2021;https://www.flashscore.com/football/africa/caf-super-cup-2021/results/;[]
AFRICA;AFRICA 3;2021/2022;https://www.flashscore.com/football/africa/caf-super-cup-2021-2022/results/;[]
ASIA;ASIA 3;2026/2027;https://www.flashscore.com/football/asia/afc-challenge-league/results/;[]
ASIA;ASIA 3;2025/2026;https://www.flashscore.com/football/asia/afc-challenge-league-2025-2026/results/;[]
ASIA;ASIA 3;2024/2025;https://www.flashscore.com/football/asia/afc-challenge-league-2024-2025/results/;[]
ASIA;ASIA 1;2026/2027;https://www.flashscore.com/football/asia/afc-champions-league/results/;[]
ASIA;ASIA 1;2025/2026;https://www.flashscore.com/football/asia/afc-champions-league-2025-2026/results/;['187']
ASIA;ASIA 1;2024/2025;https://www.flashscore.com/football/asia/afc-champions-league-2024-2025/results/;['184']
ASIA;ASIA 1;2023/2024;https://www.flashscore.com/football/asia/afc-champions-league-2023-2024/results/;['183']
ASIA;ASIA 1;2022;https://www.flashscore.com/football/asia/afc-champions-league-2022/results/;['156']
ASIA;ASIA 1;2021;https://www.flashscore.com/football/asia/afc-champions-league-2021/results/;['158']
ASIA;ASIA 2;2026/2027;https://www.flashscore.com/football/asia/afc-champions-league-2/results/;[]
ASIA;ASIA 2;2025/2026;https://www.flashscore.com/football/asia/afc-champions-league-2-2025-2026/results/;['187']
ASIA;ASIA 2;2024/2025;https://www.flashscore.com/football/asia/afc-champions-league-2-2024-2025/results/;['184']
ASIA;ASIA 4;2025/2026;https://www.flashscore.com/football/asia/gulf-club-champions-league/results/;[]
ASIA;ASIA 4;2024/2025;https://www.flashscore.com/football/asia/gulf-club-champions-league-2024-2025/results/;[]
AUSTRALIA & OCEANIA;AUSTRALIA & OCEANIA 1;2026;https://www.flashscore.com/football/australia-oceania/ofc-champions-league/results/;[]
AUSTRALIA & OCEANIA;AUSTRALIA & OCEANIA 1;2025;https://www.flashscore.com/football/australia-oceania/ofc-champions-league-2025/results/;[]
AUSTRALIA & OCEANIA;AUSTRALIA & OCEANIA 1;2024;https://www.flashscore.com/football/australia-oceania/ofc-champions-league-2024/results/;[]
AUSTRALIA & OCEANIA;AUSTRALIA & OCEANIA 1;2023;https://www.flashscore.com/football/australia-oceania/ofc-champions-league-2023/results/;[]
AUSTRALIA & OCEANIA;AUSTRALIA & OCEANIA 1;2022;https://www.flashscore.com/football/australia-oceania/ofc-champions-league-2022/results/;[]
EUROPE;EUROPE 1;2026/2027;https://www.flashscore.com/football/europe/champions-league/results/;[]
EUROPE;EUROPE 1;2025/2026;https://www.flashscore.com/football/europe/champions-league-2025-2026/results/;['187']
EUROPE;EUROPE 1;2024/2025;https://www.flashscore.com/football/europe/champions-league-2024-2025/results/;['184']
EUROPE;EUROPE 1;2023/2024;https://www.flashscore.com/football/europe/champions-league-2023-2024/results/;['183']
EUROPE;EUROPE 1;2022/2023;https://www.flashscore.com/football/europe/champions-league-2022-2023/results/;['176']
EUROPE;EUROPE 1;2021/2022;https://www.flashscore.com/football/europe/champions-league-2021-2022/results/;['172']
EUROPE;EUROPE 1;2020/2021;https://www.flashscore.com/football/europe/champions-league-2020-2021/results/;['171']
EUROPE;EUROPE 3;2026/2027;https://www.flashscore.com/football/europe/conference-league/results/;['190']
EUROPE;EUROPE 3;2025/2026;https://www.flashscore.com/football/europe/conference-league-2025-2026/results/;['187']
EUROPE;EUROPE 3;2024/2025;https://www.flashscore.com/football/europe/conference-league-2024-2025/results/;['184']
EUROPE;EUROPE 3;2023/2024;https://www.flashscore.com/football/europe/conference-league-2023-2024/results/;['183']
EUROPE;EUROPE 3;2022/2023;https://www.flashscore.com/football/europe/conference-league-2022-2023/results/;['176']
EUROPE;EUROPE 3;2021/2022;https://www.flashscore.com/football/europe/conference-league-2021-2022/results/;['172']
EUROPE;EUROPE 2;2026/2027;https://www.flashscore.com/football/europe/europa-league/results/;[]
EUROPE;EUROPE 2;2025/2026;https://www.flashscore.com/football/europe/europa-league-2025-2026/results/;['187']
EUROPE;EUROPE 2;2024/2025;https://www.flashscore.com/football/europe/europa-league-2024-2025/results/;['184']
EUROPE;EUROPE 2;2023/2024;https://www.flashscore.com/football/europe/europa-league-2023-2024/results/;['183']
EUROPE;EUROPE 2;2022/2023;https://www.flashscore.com/football/europe/europa-league-2022-2023/results/;['176']
EUROPE;EUROPE 2;2021/2022;https://www.flashscore.com/football/europe/europa-league-2021-2022/results/;['172']
EUROPE;EUROPE 2;2020/2021;https://www.flashscore.com/football/europe/europa-league-2020-2021/results/;['171']
EUROPE;EUROPE 4;2026;https://www.flashscore.com/football/europe/uefa-super-cup/results/;[]
EUROPE;EUROPE 4;2025;https://www.flashscore.com/football/europe/uefa-super-cup-2025/results/;[]
EUROPE;EUROPE 4;2024;https://www.flashscore.com/football/europe/uefa-super-cup-2024/results/;[]
EUROPE;EUROPE 4;2023;https://www.flashscore.com/football/europe/uefa-super-cup-2023/results/;[]
EUROPE;EUROPE 4;2022;https://www.flashscore.com/football/europe/uefa-super-cup-2022/results/;[]
EUROPE;EUROPE 4;2021;https://www.flashscore.com/football/europe/uefa-super-cup-2021/results/;[]
NORTH & CENTRAL AMERICA;NORTH & CENTRAL AMERICA 1;2026;https://www.flashscore.com/football/north-central-america/concacaf-champions-cup/results/;[]
NORTH & CENTRAL AMERICA;NORTH & CENTRAL AMERICA 1;2025;https://www.flashscore.com/football/north-central-america/concacaf-champions-cup-2025/results/;[]
NORTH & CENTRAL AMERICA;NORTH & CENTRAL AMERICA 1;2024;https://www.flashscore.com/football/north-central-america/concacaf-champions-cup-2024/results/;[]
NORTH & CENTRAL AMERICA;NORTH & CENTRAL AMERICA 1;2023;https://www.flashscore.com/football/north-central-america/concacaf-champions-cup-2023/results/;[]
NORTH & CENTRAL AMERICA;NORTH & CENTRAL AMERICA 1;2022;https://www.flashscore.com/football/north-central-america/concacaf-champions-cup-2022/results/;[]
NORTH & CENTRAL AMERICA;NORTH & CENTRAL AMERICA 1;2021;https://www.flashscore.com/football/north-central-america/concacaf-champions-cup-2021/results/;[]
SOUTH AMERICA;SOUTH AMERICA 1;2026;https://www.flashscore.com/football/south-america/copa-libertadores/results/;['185']
SOUTH AMERICA;SOUTH AMERICA 1;2025;https://www.flashscore.com/football/south-america/copa-libertadores-2025/results/;['182']
SOUTH AMERICA;SOUTH AMERICA 1;2024;https://www.flashscore.com/football/south-america/copa-libertadores-2024/results/;['177']
SOUTH AMERICA;SOUTH AMERICA 1;2023;https://www.flashscore.com/football/south-america/copa-libertadores-2023/results/;['175']
SOUTH AMERICA;SOUTH AMERICA 1;2022;https://www.flashscore.com/football/south-america/copa-libertadores-2022/results/;['156']
SOUTH AMERICA;SOUTH AMERICA 1;2021;https://www.flashscore.com/football/south-america/copa-libertadores-2021/results/;['158']
SOUTH AMERICA;SOUTH AMERICA 2;2026;https://www.flashscore.com/football/south-america/copa-sudamericana/results/;['185']
SOUTH AMERICA;SOUTH AMERICA 2;2025;https://www.flashscore.com/football/south-america/copa-sudamericana-2025/results/;['182']
SOUTH AMERICA;SOUTH AMERICA 2;2024;https://www.flashscore.com/football/south-america/copa-sudamericana-2024/results/;['177']
SOUTH AMERICA;SOUTH AMERICA 2;2023;https://www.flashscore.com/football/south-america/copa-sudamericana-2023/results/;['175']
SOUTH AMERICA;SOUTH AMERICA 2;2022;https://www.flashscore.com/football/south-america/copa-sudamericana-2022/results/;['156']
SOUTH AMERICA;SOUTH AMERICA 2;2021;https://www.flashscore.com/football/south-america/copa-sudamericana-2021/results/;['158']
SOUTH AMERICA;SOUTH AMERICA 3;2026;https://www.flashscore.com/football/south-america/recopa-sudamericana/results/;[]
SOUTH AMERICA;SOUTH AMERICA 3;2025;https://www.flashscore.com/football/south-america/recopa-sudamericana-2025/results/;[]
SOUTH AMERICA;SOUTH AMERICA 3;2024;https://www.flashscore.com/football/south-america/recopa-sudamericana-2024/results/;[]
SOUTH AMERICA;SOUTH AMERICA 3;2023;https://www.flashscore.com/football/south-america/recopa-sudamericana-2023/results/;[]
SOUTH AMERICA;SOUTH AMERICA 3;2022;https://www.flashscore.com/football/south-america/recopa-sudamericana-2022/results/;[]
SOUTH AMERICA;SOUTH AMERICA 3;2021;https://www.flashscore.com/football/south-america/recopa-sudamericana-2021/results/;[]
