Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_1_0,CS_1_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_1_1,CS_1_1,Bookie_CS_2_0,CS_2_0,Bookie_CS_0_2,CS_0_2,Bookie_CS_2_1,CS_2_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_2_2,CS_2_2,Bookie_CS_3_0,CS_3_0,Bookie_CS_0_3,CS_0_3,Bookie_CS_3_1,CS_3_1,Bookie_CS_1_3,CS_1_3,Bookie_CS_3_2,CS_3_2,Bookie_CS_2_3,CS_2_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
MVoUQXH8,VIETNA,2025,Liga V 2025 2026,VIETNA Liga V 2025 2026,12/06/2026,08:00,Relegation,PVF-CAND,Bac Ninh,1,1,[55],[33],Betfair,2.2,2.1,5.0,Betfair,1.57,3.5,5.0,Betfair,1.36,2.88,Betfair,3.0,1.33,Betfair,8.0,1.05,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.95,1.73,Betfair,1.14,1.25,2.2,Betfair,9.0,Betfair,5.5,Betfair,11.0,Betfair,6.5,Betfair,6.5,Betfair,23.0,Betfair,7.0,Betfair,13.0,Betfair,15.0,Betfair,11.0,Betfair,76.0,Betfair,12.0,Betfair,46.0,Betfair,23.0,Betfair,56.0,1xBet.br,5.66,1.14,1xBet.br,4.64,1.19,1xBet.br,2.66,1.48,Betano.br,1.88,1.82,Esportivabet,1.6,2.1,Casadeapostas,1.13,4.6,1xBet.br,1.01,11.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betnacional,11.88,7.32,1.11,Betnacional,5.52,4.72,1.38,Betano.br,2.95,3.35,2.12,Betnacional,1.13,6.24,13.72,Betnacional,1.02,9.6,30.19,,0,0,0,,,,,,,,,,,0.38,0.62,,,,,,,,,,,11.0,7.0,6.0,5.0,5.0,2.0,,,,,,,,,,,,,1.0,4.0,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.61,5.0,5.0,3.0,4.0,2.0,1.0,,,0.0,2.0,3.0,2.0,,,,,,,,,,,,,0.37,0.63,6.0,2.0,3.0,1.0,3.0,1.0,,,1.0,2.0,1.0,0.0,,,,,,,,
0hBUtdTO,VIETNA,2025,Liga V 2025 2026,VIETNA Liga V 2025 2026,07/06/2026,11:00,Round 26,Binh Duong,Gia Lai,3,1,"[4, 60, 88]",[39],1xBet,2.61,2.18,3.72,1xBet,2.14,3.23,3.44,1xBet,1.03,12.8,1xBet,1.29,3.61,1xBet,1.89,1.91,1xBet,1.03,12.8,1xBet,1.29,3.61,1xBet,1.89,1.91,1xBet,3.03,1.38,1xBet,5.97,1.13,1xBet,1.68,2.02,1xBet,1.29,1.32,1.67,1xBet,12.8,1xBet,8.5,1xBet,12.0,1xBet,6.0,1xBet,10.0,1xBet,17.0,1xBet,9.0,1xBet,12.0,1xBet,12.0,1xBet,17.0,1xBet,34.0,1xBet,15.0,1xBet,23.0,1xBet,23.0,1xBet,29.0,1xBet,7.5,1.03,1xBet,7.65,1.09,1xBet,3.73,1.28,1xBet,2.95,1.4,,0.0,0.0,,0.0,0.0,1xBet,1.13,6.01,1xBet,1.1,7.21,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,,,,,,,,,,0.62,0.38,,,,,,,,,,,11.0,11.0,8.0,6.0,3.0,5.0,,,,,,,,,,,,,7.0,1.0,17.0,11.0,19.0,7.0,11.0,16.0,2.0,3.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.53,0.47,4.0,7.0,3.0,3.0,1.0,4.0,,,0.0,0.0,1.0,2.0,7.0,8.0,0.0,1.0,,,,,,,,,0.72,0.28,7.0,4.0,5.0,3.0,2.0,1.0,,,7.0,1.0,1.0,1.0,,,4.0,8.0,0.0,0.0,,
2Lqnawqg,VIETNA,2025,Liga V 2025 2026,VIETNA Liga V 2025 2026,07/06/2026,11:00,Round 26,Da Nang,Thanh Hoa,4,0,"[24, 48, 57, 76]",[],1xBet,1.63,2.52,10.1,1xBet,1.28,5.1,11.2,1xBet,1.34,3.29,1xBet,2.4,1.54,1xBet,5.79,1.14,1xBet,1.01,9.0,1xBet,1.23,4.21,1xBet,1.69,2.1,1xBet,2.63,1.49,1xBet,4.82,1.18,1xBet,2.26,1.54,1xBet,1.03,1.15,3.52,1xBet,15.9,1xBet,6.5,1xBet,23.0,1xBet,10.0,1xBet,5.5,1xBet,51.0,1xBet,9.5,1xBet,29.0,1xBet,23.0,1xBet,7.0,1xBet,126.0,1xBet,12.0,1xBet,67.0,1xBet,34.0,1xBet,67.0,1xBet,2.86,1.43,1xBet,2.28,1.63,1xBet,1.78,2.03,1xBet,1.4,2.98,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,7.0,3.0,5.0,2.0,2.0,1.0,,,,,,,,,,,,,1.0,1.0,13.0,13.0,21.0,8.0,12.0,11.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.56,0.44,3.0,0.0,2.0,0.0,1.0,0.0,,,0.0,1.0,2.0,0.0,3.0,8.0,1.0,0.0,,,,,,,,,0.36,0.64,4.0,3.0,3.0,2.0,1.0,1.0,,,1.0,0.0,0.0,1.0,,,9.0,3.0,0.0,1.0,,
hS7MrIbC,VIETNA,2025,Liga V 2025 2026,VIETNA Liga V 2025 2026,07/06/2026,11:00,Round 26,Hai Phong,Nam Dinh,1,1,[47],[40],1xBet,3.6,2.4,2.4,1xBet,3.39,3.97,1.91,1xBet,1.28,3.5,1xBet,2.41,1.57,1xBet,5.14,1.14,1xBet,1.01,12.7,1xBet,1.18,4.5,1xBet,1.54,2.38,1xBet,2.4,1.54,1xBet,3.98,1.22,1xBet,1.59,2.28,1xBet,1.84,1.23,1.3,1xBet,17.0,1xBet,13.0,1xBet,10.0,1xBet,8.0,1xBet,19.0,1xBet,11.0,1xBet,11.0,1xBet,8.5,1xBet,13.0,1xBet,34.0,1xBet,17.0,1xBet,23.0,1xBet,13.0,1xBet,26.0,1xBet,21.0,,0.0,0.0,,0.0,0.0,1xBet,6.68,1.11,1xBet,5.62,1.14,,0.0,0.0,,0.0,0.0,1xBet,1.47,2.58,1xBet,1.33,3.35,1xBet,1.12,6.19,1xBet,1.1,7.19,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,,,,,,,,,,0.4,0.6,,,,,,,,,,,9.0,5.0,2.0,3.0,7.0,2.0,,,,,,,,,,,,,3.0,6.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.47,9.0,3.0,2.0,3.0,7.0,0.0,,,1.0,2.0,0.0,1.0,,,,,,,,,,,,,0.27,0.73,0.0,2.0,0.0,0.0,0.0,2.0,,,2.0,4.0,1.0,1.0,,,,,,,,
rao2eerI,VIETNA,2025,Liga V 2025 2026,VIETNA Liga V 2025 2026,07/06/2026,11:00,Round 26,Hanoi FC,Ho Chi Minh,1,1,[13],[86],,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1xBet,1.74,2.02,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,8.0,8.0,3.0,3.0,5.0,5.0,,,,,,,,,,,,,5.0,1.0,9.0,21.0,15.0,22.0,17.0,6.0,0.0,1.0,1.0,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,0.53,0.47,5.0,2.0,1.0,1.0,4.0,1.0,,,1.0,1.0,,,9.0,5.0,2.0,1.0,,,,,,,,,0.43,0.57,3.0,6.0,2.0,2.0,1.0,4.0,,,4.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,2.0,2.0,,
p24EpvUa,VIETNA,2025,Liga V 2025 2026,VIETNA Liga V 2025 2026,07/06/2026,11:00,Round 26,Phu Dong Ninh Binh,Hong Linh Ha Tinh,3,0,"[56, 58, 82]",[],1xBet,1.95,2.4,5.5,1xBet,1.57,4.38,4.95,1xBet,1.32,3.39,1xBet,2.4,1.54,1xBet,5.51,1.15,,0.0,0.0,1xBet,1.21,4.45,1xBet,1.63,2.2,1xBet,2.51,1.53,1xBet,4.51,1.21,1xBet,1.7,1.98,1xBet,1.16,1.19,2.34,1xBet,15.0,1xBet,8.0,1xBet,17.0,1xBet,8.5,1xBet,7.5,1xBet,29.0,1xBet,8.5,1xBet,17.0,1xBet,15.0,1xBet,11.0,1xBet,51.0,1xBet,12.0,1xBet,41.0,1xBet,21.0,1xBet,41.0,1xBet,4.25,1.23,1xBet,3.49,1.3,1xBet,2.32,1.61,1xBet,1.83,1.98,,0.0,0.0,,0.0,0.0,1xBet,1.01,9.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,14.0,7.0,9.0,3.0,5.0,4.0,,,,,,,,,,,,,8.0,8.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.56,2.0,4.0,0.0,2.0,2.0,2.0,,,3.0,7.0,1.0,0.0,,,,,,,,,,,,,0.54,0.46,12.0,3.0,9.0,1.0,3.0,2.0,,,5.0,1.0,1.0,1.0,,,,,,,,
G4ov1aEt,VIETNA,2025,Liga V 2025 2026,VIETNA Liga V 2025 2026,07/06/2026,11:00,Round 26,Song Lam Nghe An,PVF-CAND,1,3,[78],"[32, 35, 60]",1xBet,9.0,2.88,1.54,1xBet,11.7,6.64,1.2,1xBet,1.26,3.92,1xBet,2.21,1.67,1xBet,4.48,1.21,1xBet,1.01,13.7,1xBet,1.14,5.63,1xBet,1.5,2.61,1xBet,2.13,1.67,1xBet,3.52,1.3,1xBet,2.07,1.64,1xBet,4.25,1.1,1.02,1xBet,21.0,1xBet,29.0,1xBet,8.5,1xBet,12.0,1xBet,51.0,1xBet,6.5,1xBet,29.0,1xBet,10.0,1xBet,23.0,1xBet,500.0,1xBet,7.0,1xBet,67.0,1xBet,11.0,1xBet,51.0,1xBet,29.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1xBet,3.66,1.29,1xBet,2.33,1.61,1xBet,1.88,1.93,1xBet,1.58,2.38,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,3.0,10.0,2.0,6.0,1.0,4.0,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.6,1.0,7.0,0.0,4.0,1.0,3.0,,,0.0,5.0,,,,,,,,,,,,,,,0.72,0.28,2.0,3.0,2.0,2.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,
AomfcHD5,VIETNA,2025,Liga V 2025 2026,VIETNA Liga V 2025 2026,07/06/2026,11:00,Round 26,Viettel,Cong An Ha Noi,1,0,[32],[],1xBet,3.27,2.11,3.02,1xBet,2.94,2.88,2.62,1xBet,1.41,2.91,1xBet,2.65,1.45,1xBet,7.2,1.1,1xBet,1.03,12.0,1xBet,1.31,3.46,1xBet,1.97,1.83,1xBet,3.16,1.36,1xBet,6.35,1.12,1xBet,1.69,2.01,1xBet,1.46,1.39,1.38,1xBet,12.0,1xBet,10.0,1xBet,9.5,1xBet,5.5,1xBet,15.0,1xBet,13.0,1xBet,11.0,1xBet,10.0,1xBet,11.0,1xBet,26.0,1xBet,23.0,1xBet,21.0,1xBet,19.0,1xBet,29.0,1xBet,26.0,,0.0,0.0,,0.0,0.0,1xBet,5.34,1.16,1xBet,4.33,1.22,,0.0,0.0,,0.0,0.0,1xBet,1.25,3.95,1xBet,1.18,4.91,1xBet,1.02,8.9,1xBet,1.01,9.9,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,,,,,,,,,,0.41,0.59,,,,,,,,,,,8.0,8.0,4.0,3.0,4.0,5.0,,,,,,,,,,,,,2.0,6.0,14.0,15.0,17.0,18.0,12.0,12.0,4.0,4.0,1.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,0.47,0.53,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0,3.0,1.0,0.0,6.0,6.0,1.0,1.0,,,,,,,,,0.35,0.65,6.0,6.0,3.0,2.0,3.0,4.0,,,1.0,3.0,3.0,4.0,1.0,0.0,6.0,6.0,2.0,1.0,,
2N8RZMFs,VIETNA,2025,Liga V 2025 2026,VIETNA Liga V 2025 2026,31/05/2026,11:00,Round 25,Cong An Ha Noi,Binh Duong,2,1,"[16, 47]",[57],1xBet,1.45,3.22,9.04,1xBet,1.18,7.28,11.4,1xBet,1.15,5.0,1xBet,1.89,1.91,1xBet,3.43,1.29,1xBet,1.01,15.0,1xBet,1.07,7.5,1xBet,1.28,3.5,1xBet,1.69,2.1,1xBet,2.48,1.5,1xBet,1.71,1.97,1xBet,1.03,1.08,4.47,1xBet,15.0,1xBet,12.0,1xBet,41.0,1xBet,15.0,1xBet,8.5,1xBet,51.0,1xBet,10.0,1xBet,34.0,1xBet,21.0,1xBet,8.0,1xBet,126.0,1xBet,10.0,1xBet,67.0,1xBet,21.0,1xBet,51.0,1xBet,2.08,1.7,1xBet,1.76,2.07,1xBet,1.52,2.54,1xBet,1.25,4.01,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,,,,,,,,,,0.61,0.39,,,,,,,,,,,22.0,5.0,17.0,1.0,5.0,4.0,,,,,,,,,,,,,8.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.39,8.0,2.0,6.0,0.0,2.0,2.0,,,1.0,0.0,0.0,1.0,,,,,,,,,,,,,0.61,0.39,14.0,3.0,11.0,1.0,3.0,2.0,,,7.0,1.0,2.0,0.0,,,,,,,,
WznfhVV8,VIETNA,2025,Liga V 2025 2026,VIETNA Liga V 2025 2026,31/05/2026,11:00,Round 25,Gia Lai,Hanoi FC,3,1,"[59, 80, 91]",[41],1xBet,4.74,2.37,2.1,1xBet,4.7,3.87,1.67,1xBet,1.28,3.5,1xBet,2.4,1.54,1xBet,5.14,1.14,1xBet,1.02,11.8,1xBet,1.19,4.33,1xBet,1.63,2.2,1xBet,2.48,1.5,1xBet,4.23,1.2,1xBet,1.68,2.11,1xBet,2.13,1.24,1.17,1xBet,15.0,1xBet,15.0,1xBet,8.5,1xBet,7.5,1xBet,26.0,1xBet,8.5,1xBet,15.0,1xBet,8.5,1xBet,13.0,1xBet,51.0,1xBet,12.0,1xBet,34.0,1xBet,12.0,1xBet,34.0,1xBet,21.0,,0.0,0.0,,0.0,0.0,1xBet,8.95,1.05,1xBet,7.55,1.07,,0.0,0.0,,0.0,0.0,1xBet,1.78,2.04,1xBet,1.5,2.62,1xBet,1.23,4.25,1xBet,1.17,5.12,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0,,,,,,,,,,,0.37,0.63,,,,,,,,,,,8.0,10.0,5.0,4.0,3.0,6.0,,,,,,,,,,,,,1.0,8.0,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.67,3.0,5.0,1.0,3.0,2.0,2.0,,,1.0,2.0,2.0,0.0,,,,,,,,,,,,,0.41,0.59,5.0,5.0,4.0,1.0,1.0,4.0,,,0.0,6.0,2.0,3.0,,,,,,,,
